name,type,cat,Russia's share of China's export,China's share of Russia's import
2020,Wood and articles,Import,18.37170927100123,-45.257267808419826
2021,Wood and articles,Import,16.724960577088467,-34.504471117123025
2022,Wood and articles,Import,16.214082882537276,-37.4045984863017
2023,Wood and articles,Import,17.815500909823008,-49.81167999779944
2024,Wood and articles,Import,17.410874660688798,-52.062182046990216
2009,Copper and articles thereof,Import,0.8614845090108214,-7.146649801482731
2010,Copper and articles thereof,Import,0.9003806492050499,-8.44718758201853
2011,Copper and articles thereof,Import,0.4431898343031073,-4.809493166629894
2012,Copper and articles thereof,Import,0.7131395947869127,-6.714742322063483
2013,Copper and articles thereof,Import,0.3591625771884662,-3.6046360801178836
2014,Copper and articles thereof,Import,0.3684113130123018,-3.550960179599945
2015,Copper and articles thereof,Import,1.6873579108050607,-15.543387962721669
2016,Copper and articles thereof,Import,1.3458080978957712,-13.502772431214485
2017,Copper and articles thereof,Import,1.0377670752826738,-9.078685194454065
2018,Copper and articles thereof,Import,3.483760005475319,-30.897759858382173
2019,Copper and articles thereof,Import,4.066117425088081,-31.633243956739225
2020,Copper and articles thereof,Import,5.721862805570342,-49.56548596132966
2021,Copper and articles thereof,Import,5.9219409949241335,-65.42392890241669
2022,Copper and articles thereof,Import,4.285543514795327,-35.69355788179251
2023,Copper and articles thereof,Import,5.111200488795873,-53.57818342790133
2024,Copper and articles thereof,Import,4.122679021561503,-57.21537556056055
2009,Raw precious metals,Import,1.5222434817055976,-90.02116809472702
2010,Raw precious metals,Import,1.1100590416420948,-56.23969753657939
2011,Raw precious metals,Import,2.2224312640725734,-83.13320259990357
2012,Raw precious metals,Import,1.850717611682792,-63.65173168679236
2013,Raw precious metals,Import,1.4130036303801177,-58.13993301964467
2014,Raw precious metals,Import,0.8950211823476929,-36.51684661333155
2015,Raw precious metals,Import,0.9532830765193349,-46.8110098339723
2016,Raw precious metals,Import,0.9466268635696629,-43.76616950730553
2017,Raw precious metals,Import,1.0016315904365847,-40.90190795863213
2018,Raw precious metals,Import,1.1349660077024766,-41.99924146780608
2019,Raw precious metals,Import,1.353802774657678,-53.39644187744691
2020,Raw precious metals,Import,1.8833149717569129,-81.42671509028152
2021,Raw precious metals,Import,1.562947165436486,-57.38260557640758
2022,Raw precious metals,Import,1.619960452365838,-66.07135013795734
2023,Raw precious metals,Import,1.8518814630078566,-82.10014940022806
2024,Raw precious metals,Import,2.1737582872209185,-92.93869771401604
2009,Total exports,Export,1.4574807672271086,-10.252368205675708
2010,Total exports,Export,1.8768382187498533,-12.936027050225638
2011,Total exports,Export,2.049265471702208,-12.70960456953573
2012,Total exports,Export,2.150377477898822,-13.933440153773462
2013,Total exports,Export,2.2449528346963814,-15.745973754568238
2014,Total exports,Export,2.2916411809534156,-18.725683940385345
2015,Total exports,Export,1.525508497902437,-19.634149214623733
2016,Total exports,Export,1.7700048466041112,-20.578140143750257
2017,Total exports,Export,1.8993686186126113,-19.011529438091486
2018,Total exports,Export,1.924650062220901,-20.15743264131899
2019,Total exports,Export,1.991266262303586,-20.40707775406515
2020,Total exports,Export,1.951180085294868,-21.800332920407627
2021,Total exports,Export,2.009333344895344,-23.015219824710233
2022,Total exports,Export,2.1182830110445328,-38.178512872584704
2023,Total exports,Export,3.2772650695700962,-50.74738246426986
2024,Total exports,Export,3.2304416073853535,-56.537507514577165
2009,Machines,Export,1.0871103103616002,-9.328553597145975
2010,Machines,Export,1.578825417362472,-13.22629590696317
2011,Machines,Export,2.0442926912438004,-13.995889696124554
2012,Machines,Export,2.262885322002034,-14.711975811834185
2013,Machines,Export,2.0969918723601473,-14.10462565297291
2014,Machines,Export,1.9681541114160528,-15.140534317497728
2015,Machines,Export,1.4360979424983817,-15.687712720150316
2016,Machines,Export,2.253443796967428,-21.973333622918446
2017,Machines,Export,2.270770332279125,-19.2003205289213
2018,Machines,Export,2.0729386542368102,-20.441375541379664
2019,Machines,Export,2.233665336759227,-21.52491361026497
2020,Machines,Export,2.314255649481393,-23.60892049725306
2021,Machines,Export,2.6852206606265017,-27.038635914323212
2022,Machines,Export,3.058315281649256,-47.989063753624464
2023,Machines,Export,4.933091836079003,-63.31410154694053
2024,Machines,Export,4.807202994731929,-73.84890386000362
2009,Vehicles,Export,1.3400602235156984,-2.6431057947765657
2010,Vehicles,Export,2.5246157595551555,-4.274731328077486
2011,Vehicles,Export,4.287008059940922,-5.609438783541843
2012,Vehicles,Export,5.164296565592159,-6.381379864898884
2013,Vehicles,Export,4.514982249114147,-6.57692921355306
2014,Vehicles,Export,3.6780888198322446,-7.512980934482181
2015,Vehicles,Export,1.8102511830616654,-7.597289886053245
2016,Vehicles,Export,2.082018815707571,-8.044176636199838
2017,Vehicles,Export,2.4453735246678074,-7.705043849749872
2018,Vehicles,Export,2.34816957729733,-7.464381002597465
2019,Vehicles,Export,2.903439943468175,-9.088510167088376
2020,Vehicles,Export,2.7858335002319086,-11.531726759150507
2021,Vehicles,Export,3.568148116826593,-15.986390075780871
2022,Vehicles,Export,4.190932578890839,-43.06165558505091
2023,Vehicles,Export,11.681527569724247,-79.27869552916707
2024,Vehicles,Export,11.795938109336685,-87.11037584883537
2009,Electric machines,Export,1.219265591238281,-13.746785552371655
2010,Electric machines,Export,1.2147522964756403,-17.214444909369654
2011,Electric machines,Export,1.3826371426640827,-17.22488364543541
2012,Electric machines,Export,0.855629351106422,-16.69397882749829
2013,Electric machines,Export,0.9786392751038153,-19.180714094240063
2014,Electric machines,Export,1.2424498591189752,-23.39580749935989
2015,Electric machines,Export,1.4047959568675672,-24.928575668391723
2016,Electric machines,Export,1.4129142373860382,-25.351158729991173
2017,Electric machines,Export,1.50771501857731,-27.841597656236118
2018,Electric machines,Export,1.567861074218042,-31.204332800669487
2019,Electric machines,Export,1.3962520973281856,-31.82565615964597
2020,Electric machines,Export,1.9016725737503692,-35.43086699577766
2021,Electric machines,Export,1.7204102747496235,-38.25389448612672
2022,Electric machines,Export,13.746785552371655,-58.20988560223279
2023,Electric machines,Export,17.214444909369654,-66.63558124566545
2024,Electric machines,Export,17.22488364543541,-77.72372714450553
